riik,kasutusprotsent,temp_vahe,kesk_temp,sademete_hulk,sademete_paev,paikse_tunnid
Belgia,19.1,17,10.3,818,132,1504
Bulgaaria,37.1,25,10.7,579,125,2035
Tšehhi,46.1,21,15.9,1048,184,3331
Taani,55.9,18,8.0,613,113,1540
Saksamaa,42.9,21,9.0,591,113,1650
Eesti,46.1,23,5.2,565,122,1761
Iirimaa,31.9,11,9.6,729,129,1432
Kreeka,27.5,18,18.2,360,97,2773
Hispaania,21.9,22,14.1,384,58,2961
Prantsusmaa,27.1,19,11.5,585,164,1779
Horvaatia,31.0,23,11.6,883,98,1802
Itaalia,19.7,18,15.1,876,89,2516
Läti,54.0,23,6.5,636,120,1757
Leedu,56.8,25,6.5,683,122,1588
Luxemburg,34.6,20,8.8,863,128,1647
Ungari,47.3,25,10.5,518,78,1933
Malta,33.3,16,18.6,553,84,3049
Holland,39.5,17,9.7,776,185,1580
Austria,34.3,24,9.7,607,160,1771
Poola,51.8,23,8.1,515,93,1589
Portugal,23.9,13,16.8,753,82,2781
Rumeenia,15.2,27,11.3,595,72,2113
Sloveenia,32.9,24,10.1,1393,115,1716
Slovakkia,44.3,24,10.7,583,82,2168
Soome,70.4,21,5.4,643,115,1858
Rootsi,40.0,23,6.7,539,105,1821
Ühendkuningriik,43.3,15,9.6,754,164,1573
Island,84.4,11,4.4,791,146,1267
Norra,54.0,24,6.2,763,113,1668
